Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810101,24.67,12.73,0.0,Chattogram
19810102,24.05,14.08,0.0,Chattogram
19810103,23.69,13.35,0.0,Chattogram
19810104,24.32,13.9,0.0,Chattogram
19810105,24.44,14.43,0.0,Chattogram
19810106,24.26,15.6,1.09,Chattogram
19810107,24.69,15.78,1.98,Chattogram
19810108,22.97,15.14,7.29,Chattogram
19810109,22.45,11.77,0.01,Chattogram
19810110,23.78,11.24,0.0,Chattogram
19810111,24.46,12.32,0.0,Chattogram
19810112,25.47,15.84,0.1,Chattogram
19810113,26.61,14.38,0.28,Chattogram
19810114,25.12,15.37,4.37,Chattogram
19810115,25.5,13.28,0.0,Chattogram
19810116,26.96,13.58,0.0,Chattogram
19810117,27.45,14.48,0.0,Chattogram
19810118,26.58,15.26,0.0,Chattogram
19810119,25.01,16.1,0.0,Chattogram
19810120,25.24,14.89,0.0,Chattogram
19810121,25.2,14.26,0.0,Chattogram
19810122,24.66,14.62,0.0,Chattogram
19810123,25.14,13.43,0.0,Chattogram
19810124,26.94,13.48,0.0,Chattogram
19810125,26.95,15.1,0.0,Chattogram
19810126,26.15,13.66,9.08,Chattogram
19810127,26.53,15.54,0.0,Chattogram
19810128,25.67,13.81,0.0,Chattogram
19810129,24.64,13.35,0.0,Chattogram
19810130,25.79,14.48,0.0,Chattogram
19810131,27.9,15.78,0.29,Chattogram
19810201,28.25,16.85,8.89,Chattogram
19810202,26.79,17.21,0.05,Chattogram
19810203,25.86,15.45,0.0,Chattogram
19810204,24.68,12.85,0.0,Chattogram
19810205,25.76,13.38,0.0,Chattogram
19810206,27.38,14.32,0.0,Chattogram
19810207,29.61,15.57,0.0,Chattogram
19810208,29.92,16.84,0.0,Chattogram
19810209,30.34,16.89,0.4,Chattogram
19810210,26.86,15.81,2.82,Chattogram
19810211,23.45,16.21,4.73,Chattogram
19810212,23.99,13.88,0.32,Chattogram
19810213,24.97,12.89,0.0,Chattogram
19810214,26.23,14.86,0.0,Chattogram
19810215,27.56,14.44,0.0,Chattogram
19810216,28.41,15.69,0.0,Chattogram
19810217,29.53,17.08,0.0,Chattogram
19810218,29.28,18.62,0.0,Chattogram
19810219,29.11,15.72,0.0,Chattogram
19810220,28.49,14.08,0.0,Chattogram
19810221,28.73,15.5,0.0,Chattogram
19810222,29.3,16.25,0.0,Chattogram
19810223,30.19,15.56,0.0,Chattogram
19810224,30.7,15.26,0.0,Chattogram
19810225,31.13,16.88,0.0,Chattogram
19810226,32.87,18.58,0.0,Chattogram
19810227,32.31,19.07,0.0,Chattogram
19810228,31.3,20.16,0.0,Chattogram
19810301,30.68,19.3,0.01,Chattogram
19810302,30.34,20.94,0.05,Chattogram
19810303,31.27,20.15,0.17,Chattogram
19810304,31.98,18.3,0.0,Chattogram
19810305,31.13,16.85,0.0,Chattogram
19810306,31.35,17.61,0.0,Chattogram
19810307,31.94,18.77,0.0,Chattogram
19810308,32.24,20.11,0.0,Chattogram
19810309,32.92,21.17,0.0,Chattogram
19810310,31.64,21.08,0.01,Chattogram
