Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810101,26.32,12.24,0.0,Dhaka
19810102,25.86,13.72,0.0,Dhaka
19810103,25.98,13.49,0.0,Dhaka
19810104,26.09,13.64,0.0,Dhaka
19810105,26.82,13.46,0.03,Dhaka
19810106,26.3,15.14,1.22,Dhaka
19810107,26.15,15.63,7.58,Dhaka
19810108,24.17,12.73,1.94,Dhaka
19810109,23.38,10.37,0.09,Dhaka
19810110,24.77,10.16,0.0,Dhaka
19810111,25.84,10.36,0.0,Dhaka
19810112,25.38,13.74,0.28,Dhaka
19810113,26.15,14.93,1.22,Dhaka
19810114,26.08,14.18,2.45,Dhaka
19810115,27.24,12.99,0.03,Dhaka
19810116,28.39,12.2,0.0,Dhaka
19810117,28.56,13.66,0.0,Dhaka
19810118,27.89,14.11,0.0,Dhaka
19810119,27.04,12.39,0.0,Dhaka
19810120,26.91,14.4,0.0,Dhaka
19810121,26.7,12.9,0.0,Dhaka
19810122,26.31,12.55,0.0,Dhaka
19810123,27.5,13.87,0.0,Dhaka
19810124,28.63,14.18,0.54,Dhaka
19810125,27.94,12.99,0.36,Dhaka
19810126,27.64,14.07,16.42,Dhaka
19810127,27.84,13.85,0.0,Dhaka
19810128,26.93,13.2,0.15,Dhaka
19810129,26.14,13.25,0.0,Dhaka
19810130,27.63,12.66,0.01,Dhaka
19810131,29.16,15.02,0.88,Dhaka
19810201,26.19,16.58,13.73,Dhaka
19810202,27.88,15.14,0.01,Dhaka
19810203,26.36,12.99,0.04,Dhaka
19810204,26.11,11.2,0.0,Dhaka
19810205,27.18,12.34,0.0,Dhaka
19810206,29.03,13.13,0.0,Dhaka
19810207,31.49,15.76,0.0,Dhaka
19810208,30.82,16.95,0.34,Dhaka
19810209,30.57,15.0,0.11,Dhaka
19810210,21.27,15.61,15.56,Dhaka
19810211,23.88,12.3,0.98,Dhaka
19810212,25.46,12.94,0.0,Dhaka
19810213,26.24,11.6,0.0,Dhaka
19810214,27.92,12.3,0.0,Dhaka
19810215,30.25,13.02,0.0,Dhaka
19810216,31.49,14.25,0.0,Dhaka
19810217,31.75,16.9,0.01,Dhaka
19810218,30.43,16.56,0.0,Dhaka
19810219,30.39,13.45,0.0,Dhaka
19810220,29.71,12.53,0.0,Dhaka
19810221,30.63,14.36,0.01,Dhaka
19810222,31.22,15.8,0.0,Dhaka
19810223,31.72,15.4,0.0,Dhaka
19810224,32.19,15.03,0.0,Dhaka
19810225,33.31,15.09,0.0,Dhaka
19810226,34.82,15.56,0.0,Dhaka
19810227,34.8,17.53,0.0,Dhaka
19810228,34.98,17.93,0.0,Dhaka
19810301,35.55,18.69,0.09,Dhaka
19810302,34.7,19.16,0.0,Dhaka
19810303,33.74,18.68,0.04,Dhaka
19810304,32.89,14.34,0.02,Dhaka
19810305,32.41,14.87,0.0,Dhaka
19810306,33.29,15.84,0.07,Dhaka
19810307,34.24,17.98,0.0,Dhaka
19810308,36.33,17.99,0.22,Dhaka
19810309,35.63,20.24,0.02,Dhaka
19810310,32.52,20.6,0.11,Dhaka
19810311,35.04,19.71,0.28,Dhaka
19810312,32.46,19.69,6.12,Dhaka
19810313,29.76,21.85,4.09,Dhaka
19810314,31.65,19.73,2.27,Dhaka
19810315,32.48,18.63,3.58,Dhaka
19810316,33.1,19.58,0.1,Dhaka
19810317,32.53,17.93,0.19,Dhaka
19810318,34.5,17.97,0.14,Dhaka
19810319,35.74,18.94,0.02,Dhaka
19810320,36.59,19.97,0.0,Dhaka
19810321,33.48,22.01,0.0,Dhaka
19810322,36.44,21.97,0.0,Dhaka
19810323,35.77,20.14,0.79,Dhaka
19810324,35.59,22.15,3.35,Dhaka
19810325,32.42,20.29,0.96,Dhaka
19810326,28.44,19.82,9.23,Dhaka
19810327,30.2,18.62,6.71,Dhaka
19810328,32.02,18.75,3.18,Dhaka
19810329,34.16,19.53,0.39,Dhaka
19810330,33.06,22.47,0.12,Dhaka
19810331,33.13,22.59,7.39,Dhaka
19810401,32.62,20.98,13.06,Dhaka
19810402,35.42,21.99,2.86,Dhaka
19810403,36.54,22.8,0.25,Dhaka
19810404,36.55,23.5,2.05,Dhaka
19810405,37.98,24.36,4.2,Dhaka
19810406,38.32,22.23,0.83,Dhaka
19810407,37.58,17.3,0.0,Dhaka
19810408,37.51,19.57,0.0,Dhaka
19810409,37.86,19.25,0.13,Dhaka
19810410,38.7,20.82,0.42,Dhaka
19810411,37.7,21.73,9.61,Dhaka
