Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810101,27.78,11.19,0.0,Khulna
19810102,27.14,10.44,0.0,Khulna
19810103,26.76,9.6,0.0,Khulna
19810104,28.03,11.41,0.0,Khulna
19810105,29.05,14.34,0.02,Khulna
19810106,27.88,16.13,4.1,Khulna
19810107,27.03,15.31,5.09,Khulna
19810108,25.28,12.07,0.69,Khulna
19810109,24.18,9.66,0.0,Khulna
19810110,24.93,8.84,0.0,Khulna
19810111,26.16,9.95,0.0,Khulna
19810112,25.47,12.53,1.0,Khulna
19810113,24.99,13.0,2.7,Khulna
19810114,26.12,12.45,2.75,Khulna
19810115,27.46,11.11,0.0,Khulna
19810116,28.22,10.98,0.0,Khulna
19810117,28.7,11.35,0.0,Khulna
19810118,28.69,11.06,0.0,Khulna
19810119,27.51,10.92,0.0,Khulna
19810120,27.67,11.51,0.0,Khulna
19810121,27.51,11.98,0.0,Khulna
19810122,27.87,13.12,0.0,Khulna
19810123,29.53,12.47,0.0,Khulna
19810124,30.17,15.42,0.27,Khulna
19810125,29.26,13.82,0.85,Khulna
19810126,28.99,13.82,3.87,Khulna
19810127,29.0,14.15,0.06,Khulna
19810128,28.13,13.13,0.02,Khulna
19810129,27.93,12.13,0.0,Khulna
19810130,30.5,13.88,0.14,Khulna
19810131,32.02,16.86,1.09,Khulna
19810201,27.77,19.12,20.05,Khulna
19810202,28.65,16.24,2.42,Khulna
19810203,27.6,14.31,0.0,Khulna
19810204,27.65,11.82,0.0,Khulna
19810205,28.96,12.71,0.0,Khulna
19810206,30.86,14.7,0.0,Khulna
19810207,32.77,16.87,0.0,Khulna
19810208,32.38,15.07,0.0,Khulna
19810209,31.21,15.39,1.14,Khulna
19810210,22.8,12.37,11.77,Khulna
19810211,26.0,9.9,0.34,Khulna
19810212,27.04,12.69,0.4,Khulna
19810213,28.08,13.1,0.0,Khulna
19810214,29.77,13.58,0.0,Khulna
19810215,31.95,13.93,0.0,Khulna
19810216,33.05,14.02,0.0,Khulna
19810217,33.31,15.92,0.0,Khulna
19810218,32.14,14.4,0.0,Khulna
19810219,31.75,12.25,0.0,Khulna
19810220,31.48,12.78,0.0,Khulna
19810221,32.4,13.96,0.0,Khulna
19810222,32.58,12.93,0.0,Khulna
19810223,33.19,14.36,0.0,Khulna
19810224,33.8,14.19,0.0,Khulna
19810225,35.28,14.78,0.0,Khulna
19810226,36.94,16.72,0.0,Khulna
19810227,36.48,18.2,0.0,Khulna
19810228,37.36,17.93,0.0,Khulna
19810301,37.25,19.85,0.71,Khulna
19810302,36.81,20.63,0.0,Khulna
19810303,35.46,17.84,0.0,Khulna
19810304,34.92,16.97,0.0,Khulna
19810305,34.37,17.58,0.0,Khulna
19810306,35.22,16.66,0.02,Khulna
19810307,36.25,19.27,0.0,Khulna
19810308,38.53,19.37,0.0,Khulna
19810309,38.45,20.63,0.06,Khulna
19810310,32.58,20.86,0.94,Khulna
19810311,37.49,18.99,1.22,Khulna
19810312,35.43,20.88,2.42,Khulna
19810313,30.61,22.03,29.21,Khulna
19810314,33.01,19.62,0.05,Khulna
19810315,34.0,19.72,0.98,Khulna
19810316,34.2,20.36,0.0,Khulna
19810317,33.58,18.15,0.0,Khulna
19810318,35.7,19.06,0.03,Khulna
19810319,36.63,17.69,0.0,Khulna
19810320,37.28,20.08,0.0,Khulna
19810321,31.59,22.65,0.06,Khulna
19810322,36.75,22.19,0.02,Khulna
19810323,35.82,22.05,1.17,Khulna
19810324,36.59,22.55,1.72,Khulna
19810325,33.41,21.78,9.39,Khulna
19810326,31.47,19.63,0.55,Khulna
19810327,33.16,19.26,4.86,Khulna
19810328,33.13,19.53,5.53,Khulna
19810329,33.21,20.86,7.52,Khulna
19810330,34.44,21.48,3.05,Khulna
19810331,34.05,22.9,8.56,Khulna
19810401,34.92,22.42,2.5,Khulna
19810402,36.83,22.41,0.68,Khulna
19810403,37.19,22.58,0.36,Khulna
19810404,38.13,24.28,1.18,Khulna
19810405,40.4,24.91,0.43,Khulna
19810406,39.64,22.7,0.05,Khulna
19810407,39.14,18.38,0.0,Khulna
19810408,38.56,18.68,0.0,Khulna
19810409,39.29,20.08,0.0,Khulna
19810410,40.38,22.69,0.0,Khulna
19810411,39.5,23.2,0.54,Khulna
19810412,37.91,23.0,1.88,Khulna
