Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810101,25.94,12.29,0.0,Mymensingh
19810102,25.61,12.36,0.0,Mymensingh
19810103,25.57,11.22,0.0,Mymensingh
19810104,25.66,14.16,0.02,Mymensingh
19810105,25.87,10.59,0.09,Mymensingh
19810106,25.91,13.38,0.85,Mymensingh
19810107,25.18,15.16,8.19,Mymensingh
19810108,23.77,11.85,1.29,Mymensingh
19810109,23.2,10.13,0.26,Mymensingh
19810110,24.9,10.3,0.0,Mymensingh
19810111,25.5,9.88,0.0,Mymensingh
19810112,24.81,12.0,0.28,Mymensingh
19810113,26.06,14.66,0.65,Mymensingh
19810114,25.89,13.95,1.38,Mymensingh
19810115,27.08,12.77,0.09,Mymensingh
19810116,27.99,11.72,0.0,Mymensingh
19810117,27.98,12.71,0.0,Mymensingh
19810118,27.41,14.91,0.0,Mymensingh
19810119,26.62,11.22,0.0,Mymensingh
19810120,26.61,13.19,0.0,Mymensingh
19810121,26.29,11.63,0.02,Mymensingh
19810122,25.95,11.09,0.0,Mymensingh
19810123,27.13,13.11,0.0,Mymensingh
19810124,27.65,12.63,1.61,Mymensingh
19810125,27.23,12.53,2.2,Mymensingh
19810126,27.51,13.86,14.13,Mymensingh
19810127,27.41,13.65,0.0,Mymensingh
19810128,26.68,12.52,0.29,Mymensingh
19810129,25.86,12.89,0.0,Mymensingh
19810130,27.35,11.83,0.04,Mymensingh
19810131,28.97,13.62,0.96,Mymensingh
19810201,25.05,15.82,17.35,Mymensingh
19810202,27.38,14.68,0.0,Mymensingh
19810203,26.03,12.35,0.16,Mymensingh
19810204,25.9,11.04,0.0,Mymensingh
19810205,26.99,11.73,0.0,Mymensingh
19810206,28.7,11.97,0.0,Mymensingh
19810207,31.11,13.06,0.0,Mymensingh
19810208,30.38,16.75,0.11,Mymensingh
19810209,29.37,15.07,0.34,Mymensingh
19810210,20.9,15.19,20.11,Mymensingh
19810211,24.09,12.6,1.21,Mymensingh
19810212,24.75,12.38,0.0,Mymensingh
19810213,25.89,11.29,0.0,Mymensingh
19810214,27.68,11.71,0.0,Mymensingh
19810215,29.94,12.23,0.0,Mymensingh
19810216,31.28,12.48,0.0,Mymensingh
19810217,31.3,14.35,0.05,Mymensingh
19810218,29.9,13.69,0.0,Mymensingh
19810219,29.6,12.0,0.0,Mymensingh
19810220,29.32,12.07,0.0,Mymensingh
19810221,30.1,12.42,0.02,Mymensingh
19810222,30.91,13.23,0.0,Mymensingh
19810223,31.08,14.17,0.0,Mymensingh
19810224,31.8,12.86,0.0,Mymensingh
19810225,32.81,13.0,0.0,Mymensingh
19810226,34.48,14.64,0.0,Mymensingh
19810227,34.28,17.01,0.0,Mymensingh
19810228,34.43,16.69,0.0,Mymensingh
