Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810101,25.89,10.17,0.0,Rajshahi
19810102,25.89,9.85,0.0,Rajshahi
19810103,25.56,9.76,0.0,Rajshahi
19810104,25.38,9.45,0.0,Rajshahi
19810105,26.72,14.29,0.03,Rajshahi
19810106,26.13,13.36,0.78,Rajshahi
19810107,21.63,13.53,4.38,Rajshahi
19810108,23.76,11.68,5.39,Rajshahi
19810109,22.79,8.56,0.18,Rajshahi
19810110,23.88,8.33,0.0,Rajshahi
19810111,24.06,8.74,0.0,Rajshahi
19810112,21.81,12.19,1.97,Rajshahi
19810113,22.0,11.89,1.76,Rajshahi
19810114,25.04,10.18,0.19,Rajshahi
19810115,26.55,10.37,0.0,Rajshahi
19810116,27.0,9.13,0.0,Rajshahi
19810117,27.0,10.87,0.0,Rajshahi
19810118,27.0,10.64,0.0,Rajshahi
19810119,25.3,9.53,0.05,Rajshahi
19810120,25.77,10.39,0.0,Rajshahi
19810121,26.01,10.89,0.0,Rajshahi
19810122,26.46,12.91,0.0,Rajshahi
19810123,27.07,12.13,0.01,Rajshahi
19810124,27.98,13.47,0.55,Rajshahi
19810125,24.07,12.81,4.69,Rajshahi
19810126,23.22,12.37,0.01,Rajshahi
19810127,26.9,12.68,0.12,Rajshahi
19810128,26.34,10.59,0.46,Rajshahi
19810129,26.14,10.51,0.0,Rajshahi
19810130,28.22,13.51,0.0,Rajshahi
19810131,30.16,16.21,0.12,Rajshahi
19810201,23.26,14.17,11.46,Rajshahi
19810202,27.39,14.04,0.06,Rajshahi
19810203,25.93,11.65,0.07,Rajshahi
19810204,26.28,9.79,0.0,Rajshahi
19810205,27.98,12.32,0.0,Rajshahi
19810206,30.24,14.24,0.0,Rajshahi
19810207,31.67,13.65,0.0,Rajshahi
19810208,30.43,14.39,0.0,Rajshahi
19810209,23.97,12.75,0.7,Rajshahi
19810210,19.27,12.39,17.18,Rajshahi
19810211,25.52,10.76,0.33,Rajshahi
19810212,25.83,12.02,1.12,Rajshahi
19810213,26.75,11.24,0.0,Rajshahi
19810214,28.5,11.83,0.0,Rajshahi
19810215,30.89,13.47,0.0,Rajshahi
19810216,31.93,14.64,0.0,Rajshahi
19810217,31.66,14.03,0.15,Rajshahi
19810218,30.07,11.86,0.0,Rajshahi
19810219,29.87,11.24,0.0,Rajshahi
19810220,30.12,12.7,0.0,Rajshahi
19810221,31.1,13.39,0.22,Rajshahi
19810222,31.49,11.6,0.0,Rajshahi
19810223,31.94,12.62,0.0,Rajshahi
19810224,32.42,15.32,0.0,Rajshahi
19810225,33.93,16.65,0.0,Rajshahi
19810226,35.08,15.41,0.0,Rajshahi
19810227,34.69,15.92,0.0,Rajshahi
19810228,35.87,17.29,0.01,Rajshahi
19810301,36.0,18.19,0.27,Rajshahi
19810302,34.18,16.82,0.0,Rajshahi
19810303,33.01,14.45,0.0,Rajshahi
19810304,32.74,15.4,0.0,Rajshahi
19810305,32.61,14.92,0.0,Rajshahi
19810306,34.04,16.41,0.03,Rajshahi
19810307,35.62,17.81,0.0,Rajshahi
19810308,36.89,18.0,0.02,Rajshahi
19810309,36.48,20.17,0.31,Rajshahi
19810310,33.9,19.17,0.08,Rajshahi
19810311,34.91,20.27,1.37,Rajshahi
19810312,33.7,20.83,0.68,Rajshahi
19810313,32.62,21.28,10.91,Rajshahi
19810314,33.37,18.11,0.86,Rajshahi
19810315,32.17,20.16,0.47,Rajshahi
19810316,30.45,19.52,0.28,Rajshahi
19810317,33.16,17.28,0.02,Rajshahi
19810318,34.83,16.82,0.88,Rajshahi
19810319,36.22,19.07,0.0,Rajshahi
19810320,37.01,19.67,0.0,Rajshahi
19810321,33.11,22.76,0.07,Rajshahi
19810322,36.98,21.26,0.04,Rajshahi
19810323,37.44,18.94,0.11,Rajshahi
19810324,37.31,22.26,0.44,Rajshahi
19810325,34.21,21.48,3.69,Rajshahi
19810326,30.67,20.37,2.04,Rajshahi
19810327,31.39,19.48,6.4,Rajshahi
19810328,33.1,18.26,3.39,Rajshahi
19810329,35.19,19.87,0.06,Rajshahi
19810330,34.88,21.75,0.7,Rajshahi
19810331,35.66,22.12,5.35,Rajshahi
19810401,34.7,22.22,7.8,Rajshahi
19810402,36.27,19.51,0.18,Rajshahi
19810403,37.74,19.32,0.23,Rajshahi
19810404,39.04,22.26,0.98,Rajshahi
19810405,40.15,22.34,0.25,Rajshahi
19810406,38.21,16.77,0.08,Rajshahi
19810407,38.11,16.09,0.0,Rajshahi
19810408,38.37,17.45,0.0,Rajshahi
19810409,38.88,18.25,0.01,Rajshahi
19810410,40.08,19.21,0.04,Rajshahi
19810411,40.7,20.12,0.43,Rajshahi
19810412,37.42,24.15,2.38,Rajshahi
19810413,36.24,22.56,0.03,Rajshahi
19810414,38.44,24.13,0.0,Rajshahi
19810415,36.06,25.74,3.53,Rajshahi
19810416,35.55,24.78,2.5,Rajshahi
19810417,35.28,24.3,6.27,Rajshahi
19810418,38.06,24.47,5.47,Rajshahi
19810419,33.07,21.18,39.65,Rajshahi
19810420,33.7,18.78,3.07,Rajshahi
19810421,33.33,19.15,5.62,Rajshahi
19810422,35.96,21.17,0.14,Rajshahi
19810423,35.17,23.64,0.13,Rajshahi
19810424,37.11,24.05,0.03,Rajshahi
19810425,37.83,23.67,0.25,Rajshahi
19810426,38.39,23.07,0.33,Rajshahi
19810427,38.15,23.81,0.12,Rajshahi
19810428,38.92,24.1,0.05,Rajshahi
19810429,38.34,24.67,0.27,Rajshahi
19810430,38.63,24.81,1.46,Rajshahi
19810501,40.12,23.64,2.08,Rajshahi
19810502,40.71,24.57,1.24,Rajshahi
19810503,33.96,24.3,8.54,Rajshahi
19810504,35.86,24.39,2.19,Rajshahi
19810505,36.59,23.79,1.67,Rajshahi
19810506,33.95,24.08,5.19,Rajshahi
19810507,29.74,22.34,51.18,Rajshahi
19810508,31.73,22.66,9.85,Rajshahi
19810509,30.81,23.79,6.39,Rajshahi
19810510,35.11,24.26,9.28,Rajshahi
19810511,35.9,25.47,0.11,Rajshahi
19810512,35.19,24.91,12.24,Rajshahi
19810513,36.58,24.39,2.95,Rajshahi
19810514,37.59,24.9,0.14,Rajshahi
19810515,37.56,25.84,3.17,Rajshahi
19810516,36.77,25.73,13.38,Rajshahi
19810517,36.37,26.33,9.38,Rajshahi
19810518,33.54,25.49,10.95,Rajshahi
19810519,35.57,24.88,0.74,Rajshahi
19810520,35.89,26.23,2.25,Rajshahi
19810521,35.27,25.8,4.23,Rajshahi
19810522,34.16,25.33,10.93,Rajshahi
19810523,35.86,25.19,1.41,Rajshahi
19810524,35.74,25.25,3.99,Rajshahi
19810525,34.94,25.61,9.89,Rajshahi
19810526,34.35,25.11,8.98,Rajshahi
19810527,34.53,25.24,5.71,Rajshahi
19810528,34.09,25.87,23.84,Rajshahi
19810529,33.27,25.97,13.73,Rajshahi
19810530,32.8,25.7,17.11,Rajshahi
19810531,34.2,26.1,11.43,Rajshahi
19810601,32.87,26.07,8.43,Rajshahi
19810602,33.28,25.81,3.4,Rajshahi
19810603,35.9,25.51,0.8,Rajshahi
19810604,38.25,25.36,0.07,Rajshahi
19810605,36.76,26.76,2.25,Rajshahi
