Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810101,25.07,12.02,0.0,Rangpur
19810102,25.28,13.01,0.0,Rangpur
19810103,24.92,12.58,0.0,Rangpur
19810104,24.8,14.97,0.02,Rangpur
19810105,24.54,12.68,0.23,Rangpur
19810106,24.62,12.0,0.27,Rangpur
19810107,21.48,13.56,9.56,Rangpur
19810108,22.51,11.96,0.36,Rangpur
19810109,21.93,10.11,0.71,Rangpur
19810110,23.65,9.01,0.0,Rangpur
19810111,22.67,9.59,0.0,Rangpur
19810112,21.08,12.73,0.47,Rangpur
19810113,23.92,11.61,0.34,Rangpur
19810114,24.59,11.71,0.07,Rangpur
19810115,25.98,12.45,0.09,Rangpur
19810116,26.72,11.08,0.0,Rangpur
19810117,27.19,11.95,0.0,Rangpur
19810118,26.27,13.86,0.0,Rangpur
19810119,24.98,12.21,0.02,Rangpur
19810120,25.28,12.46,0.0,Rangpur
19810121,25.29,11.78,0.0,Rangpur
19810122,25.13,11.71,0.0,Rangpur
19810123,25.75,13.31,0.0,Rangpur
19810124,26.41,12.25,1.04,Rangpur
19810125,20.56,12.73,5.08,Rangpur
19810126,24.66,11.55,0.0,Rangpur
19810127,25.7,12.4,0.0,Rangpur
19810128,25.45,12.29,1.09,Rangpur
19810129,25.21,13.04,0.0,Rangpur
19810130,26.07,12.36,0.01,Rangpur
19810131,27.47,13.29,0.12,Rangpur
19810201,18.72,12.86,4.49,Rangpur
19810202,25.74,12.73,0.0,Rangpur
19810203,24.52,9.77,0.48,Rangpur
19810204,25.25,10.97,0.0,Rangpur
19810205,26.49,11.65,0.0,Rangpur
19810206,28.44,12.32,0.0,Rangpur
19810207,30.14,14.47,0.0,Rangpur
19810208,28.98,13.79,0.0,Rangpur
19810209,25.73,12.63,0.74,Rangpur
19810210,20.57,13.62,14.91,Rangpur
19810211,25.16,12.92,0.23,Rangpur
19810212,24.81,11.78,0.31,Rangpur
19810213,25.87,11.72,0.0,Rangpur
19810214,27.25,12.11,0.0,Rangpur
19810215,29.16,13.07,0.0,Rangpur
19810216,29.99,12.5,0.0,Rangpur
19810217,29.91,14.32,0.94,Rangpur
19810218,28.43,11.86,0.0,Rangpur
19810219,28.79,12.46,0.0,Rangpur
19810220,28.93,12.48,0.0,Rangpur
19810221,29.65,14.27,0.23,Rangpur
19810222,30.22,14.39,0.1,Rangpur
19810223,30.81,13.88,0.0,Rangpur
19810224,31.22,13.99,0.0,Rangpur
19810225,32.23,14.84,0.0,Rangpur
19810226,33.32,15.9,0.0,Rangpur
19810227,32.97,16.12,0.0,Rangpur
19810228,33.87,16.44,0.09,Rangpur
19810301,34.32,17.99,0.21,Rangpur
19810302,32.68,17.26,0.04,Rangpur
19810303,31.94,14.4,0.04,Rangpur
19810304,31.64,15.18,0.0,Rangpur
19810305,31.58,14.72,0.01,Rangpur
19810306,32.57,15.73,0.05,Rangpur
19810307,34.05,18.19,0.0,Rangpur
19810308,34.69,17.71,0.34,Rangpur
19810309,34.89,18.69,0.04,Rangpur
19810310,32.87,18.31,0.03,Rangpur
19810311,31.43,19.86,1.36,Rangpur
19810312,32.56,20.15,0.1,Rangpur
19810313,32.19,20.86,1.61,Rangpur
19810314,32.61,18.84,0.78,Rangpur
19810315,31.06,19.55,2.35,Rangpur
19810316,29.66,19.53,1.06,Rangpur
19810317,32.23,17.16,0.0,Rangpur
19810318,33.92,17.08,1.17,Rangpur
19810319,34.86,19.18,0.01,Rangpur
19810320,35.87,18.52,0.0,Rangpur
19810321,31.34,22.76,0.18,Rangpur
19810322,36.19,20.17,0.14,Rangpur
19810323,36.1,17.7,0.5,Rangpur
19810324,36.14,20.15,0.32,Rangpur
