Date,Tmax_C,Tmin_C,Rainfall_mm,Division
19810101,23.01,12.67,0.0,Sylhet
19810102,23.21,12.9,0.01,Sylhet
19810103,22.89,11.66,0.0,Sylhet
19810104,22.11,12.18,0.24,Sylhet
19810105,21.89,10.61,0.01,Sylhet
19810106,21.94,11.93,0.46,Sylhet
19810107,22.72,15.32,6.75,Sylhet
19810108,21.17,14.04,1.41,Sylhet
19810109,21.2,10.11,0.39,Sylhet
19810110,23.38,10.4,0.0,Sylhet
19810111,24.06,12.98,0.0,Sylhet
19810112,23.66,12.46,0.13,Sylhet
19810113,23.4,14.74,0.14,Sylhet
19810114,22.51,14.51,0.71,Sylhet
19810115,25.28,12.69,0.0,Sylhet
19810116,26.25,13.0,0.0,Sylhet
19810117,25.25,13.33,0.0,Sylhet
19810118,23.88,14.29,0.0,Sylhet
19810119,23.69,12.48,0.0,Sylhet
19810120,23.16,12.79,0.0,Sylhet
19810121,23.39,12.54,0.18,Sylhet
19810122,22.78,11.99,0.0,Sylhet
19810123,23.14,11.45,0.0,Sylhet
19810124,25.58,12.72,4.27,Sylhet
19810125,25.27,13.36,1.61,Sylhet
19810126,23.94,13.66,18.14,Sylhet
19810127,23.98,13.4,0.03,Sylhet
19810128,23.41,11.56,0.12,Sylhet
19810129,22.46,11.99,0.0,Sylhet
19810130,23.01,11.8,0.32,Sylhet
19810131,24.81,13.41,0.64,Sylhet
19810201,24.13,15.05,31.92,Sylhet
19810202,24.17,15.33,0.02,Sylhet
19810203,23.01,11.44,0.39,Sylhet
19810204,22.63,11.3,0.0,Sylhet
19810205,23.21,11.87,0.0,Sylhet
19810206,24.74,13.08,0.0,Sylhet
19810207,26.33,12.93,0.0,Sylhet
19810208,26.48,16.35,0.12,Sylhet
19810209,26.74,14.08,0.32,Sylhet
19810210,19.77,13.99,26.74,Sylhet
19810211,20.38,13.3,6.13,Sylhet
19810212,21.55,10.68,0.01,Sylhet
19810213,23.16,11.31,0.0,Sylhet
19810214,23.55,12.47,0.0,Sylhet
19810215,24.4,12.73,0.0,Sylhet
19810216,25.55,12.69,0.0,Sylhet
19810217,26.21,13.58,0.09,Sylhet
19810218,25.73,12.78,0.0,Sylhet
19810219,25.11,11.8,0.0,Sylhet
19810220,25.13,12.91,0.0,Sylhet
19810221,25.58,13.01,0.0,Sylhet
19810222,26.39,12.26,0.0,Sylhet
19810223,26.89,14.23,0.0,Sylhet
19810224,27.28,13.35,0.0,Sylhet
19810225,27.73,13.74,0.0,Sylhet
19810226,28.32,14.08,0.0,Sylhet
19810227,29.08,17.07,0.01,Sylhet
19810228,27.97,15.89,0.0,Sylhet
19810301,29.36,15.42,0.03,Sylhet
19810302,28.71,17.7,0.61,Sylhet
19810303,28.52,15.02,0.36,Sylhet
19810304,27.53,13.43,0.28,Sylhet
19810305,28.4,14.19,0.0,Sylhet
19810306,28.77,15.02,1.99,Sylhet
19810307,29.29,17.55,0.0,Sylhet
19810308,29.85,15.82,1.59,Sylhet
19810309,29.78,18.76,0.24,Sylhet
19810310,27.97,15.49,0.35,Sylhet
19810311,27.44,15.52,2.11,Sylhet
19810312,28.31,17.27,5.86,Sylhet
19810313,26.53,18.83,1.35,Sylhet
19810314,27.02,17.07,21.35,Sylhet
19810315,28.44,17.5,0.01,Sylhet
