Date,Tmax_C,Tmin_C,Humidity_pct,Pressure_kPa,WindSpeed_mps,DewPoint_C,SolarRadiation_Wm2,PRECTOTCORR,Division
19810101,24.86,13.48,63.65,101.3,1.92,11.59,,0.0,Barishal
19810102,24.42,13.59,56.65,101.32,1.55,9.93,,0.0,Barishal
19810103,24.26,13.16,54.89,101.32,1.28,9.49,,0.0,Barishal
19810104,25.06,13.65,61.2,101.34,1.31,10.79,,0.0,Barishal
19810105,25.58,15.33,81.83,101.28,1.84,16.73,,0.15,Barishal
19810106,25.77,17.53,85.49,101.13,2.08,18.5,,2.16,Barishal
19810107,25.55,17.64,86.74,101.05,2.31,18.46,,4.48,Barishal
19810108,23.2,14.79,75.19,101.36,2.49,13.69,,2.81,Barishal
19810109,22.25,12.45,68.3,101.62,2.56,10.56,,0.07,Barishal
19810110,22.98,11.33,65.75,101.7,2.23,9.78,,0.0,Barishal
19810111,23.96,11.58,66.3,101.72,1.65,11.13,,0.0,Barishal
19810112,23.8,15.49,70.79,101.85,2.44,13.2,,0.41,Barishal
19810113,24.85,14.96,77.18,101.74,2.88,14.97,,1.03,Barishal
19810114,24.44,15.72,75.32,101.67,2.98,14.5,,5.48,Barishal
19810115,24.72,13.27,72.23,101.71,2.29,13.36,,0.0,Barishal
19810116,26.05,13.39,69.26,101.73,2.2,13.26,,0.0,Barishal
19810117,26.55,13.47,62.15,101.72,1.73,11.84,,0.0,Barishal
19810118,26.37,14.49,59.45,101.51,1.23,11.14,,0.0,Barishal
19810119,25.67,14.67,58.45,101.34,1.06,10.72,,0.0,Barishal
19810120,25.43,14.0,57.1,101.5,1.49,10.67,,0.0,Barishal
19810121,25.19,13.67,57.68,101.46,1.28,10.58,,0.0,Barishal
19810122,25.49,15.41,60.83,101.32,1.02,11.39,,0.0,Barishal
19810123,26.27,16.08,67.48,101.36,1.35,12.9,,0.0,Barishal
19810124,26.61,15.79,65.49,101.44,1.18,13.54,,0.0,Barishal
19810125,26.81,14.49,62.2,101.58,1.73,12.74,,0.01,Barishal
19810126,26.33,14.78,71.54,101.77,1.98,14.75,,10.02,Barishal
19810127,26.56,15.17,68.11,101.72,2.49,13.69,,0.0,Barishal
19810128,26.14,14.45,60.72,101.66,2.13,11.47,,0.0,Barishal
19810129,25.5,13.76,54.41,101.41,1.3,9.68,,0.0,Barishal
19810130,27.17,16.44,58.67,101.33,1.38,12.03,,0.1,Barishal
19810131,28.28,17.33,71.83,101.37,1.76,16.04,,0.23,Barishal
19810201,27.79,18.17,76.69,101.41,1.32,17.15,,8.04,Barishal
19810202,26.76,18.27,73.11,101.49,1.64,16.64,,1.43,Barishal
19810203,25.93,16.23,63.37,101.56,3.04,12.6,,0.0,Barishal
19810204,25.51,13.72,56.71,101.49,2.5,9.89,,0.0,Barishal
19810205,26.23,13.68,59.72,101.58,2.17,11.16,,0.0,Barishal
19810206,27.8,14.81,56.17,101.61,2.07,11.47,,0.0,Barishal
19810207,30.06,16.96,48.25,101.35,1.41,11.16,,0.0,Barishal
19810208,30.23,18.27,54.65,101.21,1.08,13.23,,0.0,Barishal
19810209,29.8,17.18,63.88,101.26,1.54,14.74,,0.57,Barishal
19810210,24.43,16.19,75.31,101.19,2.86,14.9,,3.38,Barishal
19810211,24.61,12.96,66.56,101.12,2.05,11.89,,1.06,Barishal
19810212,25.01,14.45,54.51,101.18,1.2,9.56,,0.06,Barishal
19810213,26.01,14.47,52.73,101.12,1.12,9.81,,0.0,Barishal
19810214,27.73,16.82,58.65,101.15,1.02,12.62,,0.0,Barishal
19810215,29.48,16.45,66.45,101.07,1.78,14.26,,0.0,Barishal
19810216,30.72,17.47,68.95,101.15,1.61,16.08,,0.0,Barishal
19810217,31.3,18.31,64.61,101.15,1.22,15.2,,0.0,Barishal
19810218,30.73,17.39,55.69,101.14,1.52,12.31,,0.0,Barishal
19810219,29.88,15.19,42.31,101.18,1.69,7.84,,0.0,Barishal
19810220,29.51,14.99,42.95,101.19,1.54,8.26,,0.0,Barishal
19810221,30.37,17.48,44.45,101.15,1.06,9.29,,0.0,Barishal
19810222,30.39,15.28,47.86,101.15,1.57,9.58,,0.0,Barishal
19810223,30.7,16.38,37.08,101.26,1.41,7.33,,0.0,Barishal
19810224,31.58,17.59,36.76,101.25,0.94,7.77,,0.0,Barishal
19810225,32.73,18.16,47.41,101.18,1.46,11.26,,0.0,Barishal
19810226,34.74,18.76,65.3,101.07,1.84,16.78,,0.0,Barishal
19810227,34.69,20.52,66.35,101.06,1.82,18.1,,0.0,Barishal
