Date,Tmax_C,Tmin_C,Humidity_pct,Pressure_kPa,WindSpeed_mps,DewPoint_C,SolarRadiation_Wm2,PRECTOTCORR,Division
19810101,24.67,12.73,66.88,100.92,2.13,11.61,,0.0,Chattogram
19810102,24.05,14.08,60.7,100.94,1.75,10.42,,0.0,Chattogram
19810103,23.69,13.35,60.97,100.96,1.54,10.46,,0.0,Chattogram
19810104,24.32,13.9,58.1,101.0,1.23,10.36,,0.0,Chattogram
19810105,24.44,14.43,68.28,100.97,1.4,13.3,,0.0,Chattogram
19810106,24.26,15.6,83.24,100.85,2.45,16.63,,1.09,Chattogram
19810107,24.69,15.78,85.3,100.77,3.1,17.41,,1.98,Chattogram
19810108,22.97,15.14,82.14,100.95,2.03,15.9,,7.29,Chattogram
19810109,22.45,11.77,74.47,101.21,2.09,11.74,,0.01,Chattogram
19810110,23.78,11.24,72.05,101.29,2.19,11.53,,0.0,Chattogram
19810111,24.46,12.32,71.0,101.34,1.4,12.47,,0.0,Chattogram
19810112,25.47,15.84,69.66,101.45,2.08,13.58,,0.1,Chattogram
19810113,26.61,14.38,72.47,101.32,1.88,14.52,,0.28,Chattogram
19810114,25.12,15.37,76.48,101.24,2.65,14.97,,4.37,Chattogram
19810115,25.5,13.28,71.43,101.29,1.78,13.14,,0.0,Chattogram
19810116,26.96,13.58,64.32,101.32,1.44,12.21,,0.0,Chattogram
19810117,27.45,14.48,60.61,101.32,1.33,11.79,,0.0,Chattogram
19810118,26.58,15.26,59.29,101.13,1.33,11.61,,0.0,Chattogram
19810119,25.01,16.1,57.92,101.0,1.28,11.26,,0.0,Chattogram
19810120,25.24,14.89,63.67,101.14,1.5,12.07,,0.0,Chattogram
19810121,25.2,14.26,60.03,101.08,1.55,11.2,,0.0,Chattogram
19810122,24.66,14.62,58.11,100.98,1.38,10.59,,0.0,Chattogram
19810123,25.14,13.43,57.77,101.02,1.49,10.55,,0.0,Chattogram
19810124,26.94,13.48,56.82,101.06,1.6,10.5,,0.0,Chattogram
19810125,26.95,15.1,57.13,101.2,1.47,10.97,,0.0,Chattogram
19810126,26.15,13.66,69.26,101.39,1.88,13.66,,9.08,Chattogram
19810127,26.53,15.54,69.59,101.31,2.1,14.1,,0.0,Chattogram
19810128,25.67,13.81,64.71,101.27,2.09,11.96,,0.0,Chattogram
19810129,24.64,13.35,58.73,101.06,1.64,10.09,,0.0,Chattogram
19810130,25.79,14.48,55.51,100.99,1.45,10.8,,0.0,Chattogram
19810131,27.9,15.78,56.47,101.03,1.19,12.55,,0.29,Chattogram
19810201,28.25,16.85,60.11,101.06,1.12,14.03,,8.89,Chattogram
19810202,26.79,17.21,72.62,101.12,1.79,15.92,,0.05,Chattogram
19810203,25.86,15.45,64.65,101.14,2.87,12.52,,0.0,Chattogram
19810204,24.68,12.85,59.59,101.1,2.13,9.91,,0.0,Chattogram
19810205,25.76,13.38,62.48,101.19,2.12,11.42,,0.0,Chattogram
19810206,27.38,14.32,62.0,101.23,2.19,12.29,,0.0,Chattogram
19810207,29.61,15.57,53.29,100.99,1.99,11.74,,0.0,Chattogram
19810208,29.92,16.84,49.72,100.86,1.57,12.1,,0.0,Chattogram
19810209,30.34,16.89,55.64,100.9,1.67,13.01,,0.4,Chattogram
19810210,26.86,15.81,70.6,100.77,2.56,14.59,,2.82,Chattogram
19810211,23.45,16.21,70.24,100.75,2.24,13.0,,4.73,Chattogram
19810212,23.99,13.88,62.31,100.83,1.66,10.76,,0.32,Chattogram
19810213,24.97,12.89,57.7,100.78,1.89,9.87,,0.0,Chattogram
19810214,26.23,14.86,53.33,100.83,1.41,10.2,,0.0,Chattogram
19810215,27.56,14.44,55.75,100.76,1.66,10.95,,0.0,Chattogram
