Date,Tmax_C,Tmin_C,Humidity_pct,Pressure_kPa,WindSpeed_mps,DewPoint_C,SolarRadiation_Wm2,PRECTOTCORR,Division
19810101,26.32,12.24,55.22,101.23,1.49,8.76,,0.0,Dhaka
19810102,25.86,13.72,51.12,101.24,0.93,8.17,,0.0,Dhaka
19810103,25.98,13.49,55.75,101.23,0.9,9.73,,0.0,Dhaka
19810104,26.09,13.64,53.51,101.22,1.34,8.51,,0.0,Dhaka
19810105,26.82,13.46,58.67,101.18,1.07,10.52,,0.03,Dhaka
19810106,26.3,15.14,71.02,101.03,1.18,14.72,,1.22,Dhaka
19810107,26.15,15.63,82.04,101.0,2.01,16.25,,7.58,Dhaka
19810108,24.17,12.73,71.5,101.29,1.78,11.71,,1.94,Dhaka
19810109,23.38,10.37,62.73,101.57,1.63,8.39,,0.09,Dhaka
19810110,24.77,10.16,60.14,101.64,1.19,7.97,,0.0,Dhaka
19810111,25.84,10.36,66.59,101.65,1.26,10.63,,0.0,Dhaka
19810112,25.38,13.74,67.11,101.83,1.78,11.93,,0.28,Dhaka
19810113,26.15,14.93,69.56,101.7,1.89,13.37,,1.22,Dhaka
19810114,26.08,14.18,68.72,101.61,1.98,12.45,,2.45,Dhaka
19810115,27.24,12.99,66.47,101.64,1.55,12.12,,0.03,Dhaka
19810116,28.39,12.2,62.01,101.7,1.34,11.12,,0.0,Dhaka
19810117,28.56,13.66,51.71,101.66,0.99,9.28,,0.0,Dhaka
19810118,27.89,14.11,51.91,101.42,1.02,9.08,,0.0,Dhaka
19810119,27.04,12.39,54.02,101.26,1.17,8.77,,0.0,Dhaka
19810120,26.91,14.4,50.85,101.44,1.23,8.51,,0.0,Dhaka
19810121,26.7,12.9,51.62,101.39,1.15,8.42,,0.0,Dhaka
19810122,26.31,12.55,51.81,101.24,1.16,8.51,,0.0,Dhaka
19810123,27.5,13.87,48.93,101.25,1.17,8.81,,0.0,Dhaka
19810124,28.63,14.18,56.68,101.37,1.25,10.85,,0.54,Dhaka
19810125,27.94,12.99,62.49,101.53,1.95,11.75,,0.36,Dhaka
19810126,27.64,14.07,66.56,101.72,1.94,13.16,,16.42,Dhaka
19810127,27.84,13.85,59.79,101.67,1.85,10.9,,0.0,Dhaka
19810128,26.93,13.2,55.13,101.59,1.48,9.23,,0.15,Dhaka
19810129,26.14,13.25,51.07,101.32,1.21,7.95,,0.0,Dhaka
19810130,27.63,12.66,52.34,101.22,1.62,9.6,,0.01,Dhaka
19810131,29.16,15.02,68.71,101.26,1.46,15.25,,0.88,Dhaka
19810201,26.19,16.58,78.31,101.31,1.76,16.88,,13.73,Dhaka
19810202,27.88,15.14,66.12,101.44,1.81,13.3,,0.01,Dhaka
19810203,26.36,12.99,56.81,101.54,1.97,9.37,,0.04,Dhaka
19810204,26.11,11.2,55.62,101.42,1.49,8.64,,0.0,Dhaka
19810205,27.18,12.34,56.46,101.5,1.5,9.95,,0.0,Dhaka
19810206,29.03,13.13,51.74,101.52,1.49,9.89,,0.0,Dhaka
19810207,31.49,15.76,45.24,101.24,1.34,9.92,,0.0,Dhaka
19810208,30.82,16.95,51.72,101.12,1.33,11.96,,0.34,Dhaka
19810209,30.57,15.0,57.07,101.23,2.33,11.68,,0.11,Dhaka
19810210,21.27,15.61,80.67,101.17,1.65,14.44,,15.56,Dhaka
19810211,23.88,12.3,70.47,101.02,2.08,12.46,,0.98,Dhaka
19810212,25.46,12.94,55.11,101.1,0.94,9.01,,0.0,Dhaka
19810213,26.24,11.6,55.33,101.07,1.43,8.7,,0.0,Dhaka
19810214,27.92,12.3,51.31,101.08,1.28,9.0,,0.0,Dhaka
19810215,30.25,13.02,46.11,100.96,1.49,8.41,,0.0,Dhaka
19810216,31.49,14.25,55.04,101.04,1.74,11.13,,0.0,Dhaka
19810217,31.75,16.9,47.8,101.05,1.66,10.98,,0.01,Dhaka
19810218,30.43,16.56,39.31,101.05,1.51,7.31,,0.0,Dhaka
19810219,30.39,13.45,36.61,101.11,1.31,5.42,,0.0,Dhaka
19810220,29.71,12.53,41.39,101.11,1.11,6.77,,0.0,Dhaka
19810221,30.63,14.36,39.34,101.06,1.16,7.3,,0.01,Dhaka
19810222,31.22,15.8,34.89,101.06,1.07,6.14,,0.0,Dhaka
19810223,31.72,15.4,33.17,101.18,1.03,5.47,,0.0,Dhaka
19810224,32.19,15.03,35.28,101.17,1.22,6.37,,0.0,Dhaka
19810225,33.31,15.09,39.72,101.08,1.35,8.46,,0.0,Dhaka
19810226,34.82,15.56,49.91,100.96,1.69,11.69,,0.0,Dhaka
19810227,34.8,17.53,49.56,100.95,1.8,11.74,,0.0,Dhaka
19810228,34.98,17.93,46.39,100.97,2.34,11.28,,0.0,Dhaka
19810301,35.55,18.69,62.08,100.98,2.51,17.33,,0.09,Dhaka
19810302,34.7,19.16,55.57,101.03,2.02,14.29,,0.0,Dhaka
19810303,33.74,18.68,44.65,101.27,1.69,9.31,,0.04,Dhaka
19810304,32.89,14.34,34.05,101.46,1.53,5.06,,0.02,Dhaka
19810305,32.41,14.87,35.29,101.42,1.35,5.87,,0.0,Dhaka
19810306,33.29,15.84,34.1,101.43,0.93,6.74,,0.07,Dhaka
19810307,34.24,17.98,49.19,101.32,1.69,13.51,,0.0,Dhaka
19810308,36.33,17.99,48.02,100.98,2.56,13.55,,0.22,Dhaka
19810309,35.63,20.24,47.37,101.05,1.91,13.58,,0.02,Dhaka
19810310,32.52,20.6,40.35,101.19,1.48,10.6,,0.11,Dhaka
19810311,35.04,19.71,46.12,101.09,1.97,13.17,,0.28,Dhaka
19810312,32.46,19.69,57.85,101.17,1.39,16.59,,6.12,Dhaka
19810313,29.76,21.85,60.12,101.32,0.91,16.86,,4.09,Dhaka
19810314,31.65,19.73,55.32,101.4,0.97,15.09,,2.27,Dhaka
19810315,32.48,18.63,54.58,101.43,1.13,14.49,,3.58,Dhaka
19810316,33.1,19.58,49.84,101.12,2.08,13.53,,0.1,Dhaka
19810317,32.53,17.93,52.42,100.78,2.17,13.62,,0.19,Dhaka
19810318,34.5,17.97,44.69,100.7,1.86,11.6,,0.14,Dhaka
19810319,35.74,18.94,35.58,100.76,1.02,9.53,,0.02,Dhaka
19810320,36.59,19.97,40.08,100.71,1.45,12.36,,0.0,Dhaka
19810321,33.48,22.01,55.51,100.73,1.96,16.54,,0.0,Dhaka
19810322,36.44,21.97,47.66,100.41,2.48,14.68,,0.0,Dhaka
19810323,35.77,20.14,50.46,100.34,2.51,15.39,,0.79,Dhaka
19810324,35.59,22.15,56.79,100.59,1.95,17.02,,3.35,Dhaka
19810325,32.42,20.29,61.05,100.84,1.74,16.73,,0.96,Dhaka
19810326,28.44,19.82,62.26,100.82,0.95,16.12,,9.23,Dhaka
19810327,30.2,18.62,59.56,100.68,1.82,15.8,,6.71,Dhaka
19810328,32.02,18.75,62.36,100.82,2.01,16.85,,3.18,Dhaka
19810329,34.16,19.53,62.27,100.95,1.73,17.95,,0.39,Dhaka
19810330,33.06,22.47,60.77,100.85,1.18,18.62,,0.12,Dhaka
19810331,33.13,22.59,69.34,100.58,2.64,20.51,,7.39,Dhaka
19810401,32.62,20.98,72.44,100.44,3.45,20.63,,13.06,Dhaka
19810402,35.42,21.99,64.14,100.7,2.57,19.22,,2.86,Dhaka
19810403,36.54,22.8,61.92,100.6,3.37,20.05,,0.25,Dhaka
19810404,36.55,23.5,65.59,100.35,3.47,21.84,,2.05,Dhaka
19810405,37.98,24.36,63.97,100.18,3.22,21.07,,4.2,Dhaka
19810406,38.32,22.23,51.56,100.4,2.59,14.76,,0.83,Dhaka
19810407,37.58,17.3,38.79,100.5,1.42,8.73,,0.0,Dhaka
19810408,37.51,19.57,48.67,100.54,1.77,12.97,,0.0,Dhaka
19810409,37.86,19.25,50.15,100.42,2.15,14.27,,0.13,Dhaka
19810410,38.7,20.82,54.31,100.3,2.38,16.59,,0.42,Dhaka
19810411,37.7,21.73,61.93,100.43,2.83,19.47,,9.61,Dhaka
19810412,32.53,22.01,75.25,100.62,3.23,21.32,,30.92,Dhaka
19810413,33.96,21.12,69.43,100.7,2.64,20.66,,1.73,Dhaka
19810414,34.98,24.45,67.53,100.63,3.17,21.72,,0.0,Dhaka
19810415,34.45,23.56,66.41,100.71,2.66,21.09,,0.42,Dhaka
19810416,34.11,23.72,75.53,100.52,2.51,22.86,,12.7,Dhaka
19810417,30.38,23.66,85.35,100.46,3.36,23.61,,84.61,Dhaka
19810418,31.71,23.14,84.57,100.57,3.47,23.84,,17.55,Dhaka
19810419,31.53,24.38,86.1,100.72,4.21,24.16,,27.58,Dhaka
19810420,29.46,21.21,80.84,100.79,1.44,21.61,,25.26,Dhaka
19810421,30.75,19.52,72.36,100.72,1.05,19.46,,2.25,Dhaka
19810422,31.87,20.42,70.67,100.69,1.24,20.43,,0.43,Dhaka
19810423,31.69,22.36,79.79,100.79,1.64,22.9,,0.8,Dhaka
19810424,31.06,23.39,82.86,100.92,1.78,23.53,,0.23,Dhaka
19810425,33.34,22.59,75.98,100.9,1.07,22.02,,0.01,Dhaka
19810426,34.58,21.9,70.13,100.81,1.26,21.53,,0.0,Dhaka
19810427,34.53,22.16,69.25,100.85,1.85,21.19,,0.04,Dhaka
19810428,34.2,21.6,67.65,100.81,1.33,20.34,,0.08,Dhaka
19810429,34.25,23.05,70.59,100.62,2.0,21.99,,0.02,Dhaka
19810430,34.09,23.66,71.5,100.72,1.63,22.55,,0.57,Dhaka
19810501,36.86,25.03,66.51,100.75,2.68,22.18,,0.13,Dhaka
19810502,36.23,24.0,65.61,100.76,2.61,21.66,,0.02,Dhaka
19810503,33.51,22.56,67.04,100.79,1.2,20.91,,1.78,Dhaka
19810504,34.7,24.11,62.7,100.76,1.05,20.93,,0.24,Dhaka
19810505,33.04,23.83,64.63,100.76,1.52,20.42,,0.06,Dhaka
19810506,33.51,22.78,62.85,100.72,1.8,19.28,,1.72,Dhaka
19810507,34.41,21.98,62.83,100.66,1.89,19.28,,2.11,Dhaka
19810508,33.01,22.78,67.45,100.6,2.3,20.25,,1.56,Dhaka
19810509,29.32,23.3,79.54,100.45,1.91,22.42,,2.58,Dhaka
19810510,31.77,24.62,77.81,100.3,1.58,23.48,,15.71,Dhaka
19810511,32.66,24.55,75.39,100.29,1.6,23.28,,0.31,Dhaka
19810512,34.62,24.38,71.14,100.15,1.81,23.32,,23.52,Dhaka
19810513,34.2,24.07,73.29,100.09,2.1,23.48,,26.76,Dhaka
19810514,34.97,24.47,73.44,100.23,2.03,23.69,,9.26,Dhaka
19810515,34.8,25.6,74.16,100.08,2.97,24.13,,1.87,Dhaka
19810516,33.88,25.14,80.29,100.07,3.45,25.05,,24.3,Dhaka
19810517,33.12,25.79,82.75,100.14,3.48,25.42,,18.35,Dhaka
19810518,32.4,24.7,77.54,100.25,1.74,23.96,,6.97,Dhaka
19810519,34.29,24.94,71.83,100.07,1.07,23.76,,0.0,Dhaka
19810520,34.06,26.16,76.36,100.1,2.78,24.74,,1.8,Dhaka
19810521,33.85,25.23,76.74,100.25,3.27,23.99,,11.57,Dhaka
19810522,33.57,24.72,78.08,100.34,2.65,23.94,,2.87,Dhaka
19810523,33.82,25.05,77.44,100.19,2.08,24.48,,3.39,Dhaka
19810524,32.91,25.56,78.98,100.17,2.52,24.7,,0.97,Dhaka
19810525,32.76,25.07,80.82,100.35,2.31,24.5,,3.36,Dhaka
19810526,34.86,25.04,74.35,100.46,2.55,23.64,,5.11,Dhaka
19810527,34.33,24.72,76.15,100.38,2.94,24.15,,4.07,Dhaka
19810528,33.6,25.6,81.38,100.2,4.19,25.23,,9.31,Dhaka
19810529,32.6,25.52,81.84,100.29,3.8,25.09,,12.93,Dhaka
19810530,32.6,25.84,83.28,100.28,3.52,25.55,,16.06,Dhaka
19810531,32.25,26.07,83.73,100.28,2.63,25.62,,6.75,Dhaka
19810601,30.74,26.02,86.82,100.17,2.55,25.53,,6.49,Dhaka
19810602,32.68,25.4,81.86,100.03,2.21,25.09,,3.76,Dhaka
19810603,32.9,25.53,81.39,99.85,2.11,25.15,,4.21,Dhaka
