Date,Tmax_C,Tmin_C,Humidity_pct,Pressure_kPa,WindSpeed_mps,DewPoint_C,SolarRadiation_Wm2,PRECTOTCORR,Division
19810101,27.78,11.19,57.23,101.31,1.8,8.63,,0.0,Khulna
19810102,27.14,10.44,53.6,101.32,1.72,7.19,,0.0,Khulna
19810103,26.76,9.6,52.91,101.32,1.77,6.48,,0.0,Khulna
19810104,28.03,11.41,50.66,101.29,1.68,7.89,,0.0,Khulna
19810105,29.05,14.34,55.06,101.2,1.03,11.11,,0.02,Khulna
19810106,27.88,16.13,65.85,101.07,1.04,14.36,,4.1,Khulna
19810107,27.03,15.31,74.3,101.05,1.87,15.19,,5.09,Khulna
19810108,25.28,12.07,69.21,101.38,1.48,11.06,,0.69,Khulna
19810109,24.18,9.66,61.52,101.65,1.78,7.54,,0.0,Khulna
19810110,24.93,8.84,63.35,101.73,1.66,7.97,,0.0,Khulna
19810111,26.16,9.95,58.77,101.74,1.31,7.92,,0.0,Khulna
19810112,25.47,12.53,65.81,101.9,2.1,10.87,,1.0,Khulna
19810113,24.99,13.0,73.16,101.8,1.98,13.01,,2.7,Khulna
19810114,26.12,12.45,68.06,101.7,1.92,11.63,,2.75,Khulna
19810115,27.46,11.11,63.05,101.74,1.92,10.49,,0.0,Khulna
19810116,28.22,10.98,57.81,101.79,2.1,9.07,,0.0,Khulna
19810117,28.7,11.35,54.13,101.74,1.13,8.97,,0.0,Khulna
19810118,28.69,11.06,50.83,101.5,1.1,7.39,,0.0,Khulna
19810119,27.51,10.92,49.22,101.35,1.44,6.52,,0.0,Khulna
19810120,27.67,11.51,53.48,101.51,1.58,8.27,,0.0,Khulna
19810121,27.51,11.98,47.79,101.46,1.17,6.7,,0.0,Khulna
19810122,27.87,13.12,44.84,101.31,1.28,6.84,,0.0,Khulna
19810123,29.53,12.47,50.03,101.29,1.33,9.18,,0.0,Khulna
19810124,30.17,15.42,63.18,101.38,0.88,13.39,,0.27,Khulna
19810125,29.26,13.82,59.86,101.58,1.4,12.04,,0.85,Khulna
19810126,28.99,13.82,66.54,101.78,1.81,13.36,,3.87,Khulna
19810127,29.0,14.15,61.18,101.73,1.84,12.13,,0.06,Khulna
19810128,28.13,13.13,54.23,101.68,1.96,8.92,,0.02,Khulna
19810129,27.93,12.13,48.0,101.4,1.54,7.14,,0.0,Khulna
19810130,30.5,13.88,54.64,101.24,1.63,11.38,,0.14,Khulna
19810131,32.02,16.86,68.54,101.26,1.81,16.59,,1.09,Khulna
19810201,27.77,19.12,81.23,101.37,1.5,18.84,,20.05,Khulna
19810202,28.65,16.24,69.99,101.49,1.53,15.35,,2.42,Khulna
19810203,27.6,14.31,59.37,101.58,2.01,10.97,,0.0,Khulna
