Date,Tmax_C,Tmin_C,Humidity_pct,Pressure_kPa,WindSpeed_mps,DewPoint_C,SolarRadiation_Wm2,PRECTOTCORR,Division
19810101,25.94,12.29,57.57,101.22,1.22,8.99,,0.0,Mymensingh
19810102,25.61,12.36,56.14,101.22,0.66,9.01,,0.0,Mymensingh
19810103,25.57,11.22,61.16,101.23,0.91,10.39,,0.0,Mymensingh
19810104,25.66,14.16,53.18,101.22,1.14,8.57,,0.02,Mymensingh
19810105,25.87,10.59,60.34,101.21,1.19,9.56,,0.09,Mymensingh
19810106,25.91,13.38,72.16,101.07,1.32,13.62,,0.85,Mymensingh
19810107,25.18,15.16,82.28,101.05,1.61,15.61,,8.19,Mymensingh
19810108,23.77,11.85,72.32,101.3,1.58,11.53,,1.29,Mymensingh
19810109,23.2,10.13,63.07,101.58,1.33,8.44,,0.26,Mymensingh
19810110,24.9,10.3,60.97,101.63,1.11,8.3,,0.0,Mymensingh
19810111,25.5,9.88,68.09,101.66,1.3,10.8,,0.0,Mymensingh
19810112,24.81,12.0,70.46,101.85,1.36,11.99,,0.28,Mymensingh
19810113,26.06,14.66,69.24,101.72,1.35,13.11,,0.65,Mymensingh
19810114,25.89,13.95,69.64,101.6,1.79,12.65,,1.38,Mymensingh
19810115,27.08,12.77,67.11,101.64,1.34,12.18,,0.09,Mymensingh
19810116,27.99,11.72,62.25,101.69,1.23,11.01,,0.0,Mymensingh
19810117,27.98,12.71,51.42,101.66,0.83,9.15,,0.0,Mymensingh
19810118,27.41,14.91,49.82,101.43,0.98,8.63,,0.0,Mymensingh
19810119,26.62,11.22,54.62,101.27,1.13,8.39,,0.0,Mymensingh
19810120,26.61,13.19,53.21,101.42,1.07,8.6,,0.0,Mymensingh
19810121,26.29,11.63,54.26,101.38,1.15,8.68,,0.02,Mymensingh
19810122,25.95,11.09,56.13,101.25,1.14,8.95,,0.0,Mymensingh
19810123,27.13,13.11,48.81,101.26,1.23,8.39,,0.0,Mymensingh
19810124,27.65,12.63,59.09,101.4,1.73,10.39,,1.61,Mymensingh
19810125,27.23,12.53,65.12,101.57,1.58,11.77,,2.2,Mymensingh
19810126,27.51,13.86,66.36,101.73,1.65,12.74,,14.13,Mymensingh
19810127,27.41,13.65,61.39,101.67,1.54,10.63,,0.0,Mymensingh
19810128,26.68,12.52,56.03,101.59,1.26,8.99,,0.29,Mymensingh
19810129,25.86,12.89,53.65,101.31,1.0,8.28,,0.0,Mymensingh
19810130,27.35,11.83,52.28,101.23,1.52,9.26,,0.04,Mymensingh
19810131,28.97,13.62,67.72,101.29,1.42,14.62,,0.96,Mymensingh
19810201,25.05,15.82,78.7,101.36,1.98,15.81,,17.35,Mymensingh
19810202,27.38,14.68,67.02,101.46,1.72,12.58,,0.0,Mymensingh
19810203,26.03,12.35,57.29,101.54,1.86,8.83,,0.16,Mymensingh
19810204,25.9,11.04,58.39,101.42,1.08,9.27,,0.0,Mymensingh
19810205,26.99,11.73,58.61,101.51,1.22,10.29,,0.0,Mymensingh
19810206,28.7,11.97,55.23,101.55,1.19,10.27,,0.0,Mymensingh
19810207,31.11,13.06,52.93,101.26,1.73,10.51,,0.0,Mymensingh
19810208,30.38,16.75,53.97,101.14,1.32,12.01,,0.11,Mymensingh
19810209,29.37,15.07,55.96,101.28,2.4,10.81,,0.34,Mymensingh
19810210,20.9,15.19,81.09,101.16,1.58,14.18,,20.11,Mymensingh
