Date,Tmax_C,Tmin_C,Humidity_pct,Pressure_kPa,WindSpeed_mps,DewPoint_C,SolarRadiation_Wm2,PRECTOTCORR,Division
19810101,25.89,10.17,57.8,101.15,1.78,7.84,,0.0,Rajshahi
19810102,25.89,9.85,54.46,101.16,1.35,7.33,,0.0,Rajshahi
19810103,25.56,9.76,56.41,101.15,1.46,7.46,,0.0,Rajshahi
19810104,25.38,9.45,50.89,101.12,1.36,6.12,,0.0,Rajshahi
19810105,26.72,14.29,45.03,101.07,0.87,7.1,,0.03,Rajshahi
19810106,26.13,13.36,60.33,100.95,1.14,10.72,,0.78,Rajshahi
19810107,21.63,13.53,77.15,101.0,1.69,13.18,,4.38,Rajshahi
19810108,23.76,11.68,66.65,101.24,1.37,9.77,,5.39,Rajshahi
19810109,22.79,8.56,61.47,101.54,1.67,6.91,,0.18,Rajshahi
19810110,23.88,8.33,69.6,101.61,1.69,9.26,,0.0,Rajshahi
19810111,24.06,8.74,70.45,101.62,1.46,9.99,,0.0,Rajshahi
19810112,21.81,12.19,71.84,101.85,2.15,10.61,,1.97,Rajshahi
19810113,22.0,11.89,71.57,101.71,1.52,10.98,,1.76,Rajshahi
19810114,25.04,10.18,67.67,101.58,1.47,10.52,,0.19,Rajshahi
19810115,26.55,10.37,59.54,101.64,2.02,8.63,,0.0,Rajshahi
19810116,27.0,9.13,50.97,101.69,1.9,6.65,,0.0,Rajshahi
19810117,27.0,10.87,58.94,101.62,1.14,9.26,,0.0,Rajshahi
19810118,27.0,10.64,47.41,101.35,1.23,6.06,,0.0,Rajshahi
19810119,25.3,9.53,51.32,101.22,1.45,6.17,,0.05,Rajshahi
19810120,25.77,10.39,50.17,101.37,1.39,6.62,,0.0,Rajshahi
19810121,26.01,10.89,50.48,101.32,1.17,7.45,,0.0,Rajshahi
19810122,26.46,12.91,48.12,101.14,1.11,7.5,,0.0,Rajshahi
19810123,27.07,12.13,47.88,101.13,1.28,7.75,,0.01,Rajshahi
19810124,27.98,13.47,59.56,101.26,1.44,11.15,,0.55,Rajshahi
19810125,24.07,12.81,73.02,101.53,2.47,12.32,,4.69,Rajshahi
19810126,23.22,12.37,75.01,101.72,1.76,12.66,,0.01,Rajshahi
19810127,26.9,12.68,64.45,101.62,1.45,11.34,,0.12,Rajshahi
19810128,26.34,10.59,54.91,101.56,1.67,7.82,,0.46,Rajshahi
