Date,Tmax_C,Tmin_C,Humidity_pct,Pressure_kPa,WindSpeed_mps,DewPoint_C,SolarRadiation_Wm2,PRECTOTCORR,Division
19810101,23.01,12.67,71.82,100.15,1.22,12.46,,0.0,Sylhet
19810102,23.21,12.9,72.29,100.14,1.21,12.52,,0.01,Sylhet
19810103,22.89,11.66,71.2,100.15,1.17,11.9,,0.0,Sylhet
19810104,22.11,12.18,72.12,100.16,1.21,11.47,,0.24,Sylhet
19810105,21.89,10.61,71.15,100.18,1.3,10.48,,0.01,Sylhet
19810106,21.94,11.93,77.52,100.05,1.07,13.09,,0.46,Sylhet
19810107,22.72,15.32,82.14,99.93,1.24,15.2,,6.75,Sylhet
19810108,21.17,14.04,74.84,100.15,1.24,12.39,,1.41,Sylhet
19810109,21.2,10.11,70.3,100.45,1.25,9.69,,0.39,Sylhet
19810110,23.38,10.4,73.26,100.49,1.89,11.29,,0.0,Sylhet
19810111,24.06,12.98,71.75,100.52,2.53,12.16,,0.0,Sylhet
19810112,23.66,12.46,71.08,100.68,1.14,12.26,,0.13,Sylhet
19810113,23.4,14.74,77.1,100.57,1.01,13.93,,0.14,Sylhet
19810114,22.51,14.51,74.67,100.49,1.06,13.43,,0.71,Sylhet
19810115,25.28,12.69,70.47,100.53,1.34,12.51,,0.0,Sylhet
19810116,26.25,13.0,60.38,100.59,1.75,10.51,,0.0,Sylhet
19810117,25.25,13.33,61.29,100.59,1.21,10.59,,0.0,Sylhet
19810118,23.88,14.29,58.44,100.35,1.11,10.24,,0.0,Sylhet
19810119,23.69,12.48,64.23,100.12,1.25,10.54,,0.0,Sylhet
19810120,23.16,12.79,67.2,100.35,1.22,11.09,,0.0,Sylhet
19810121,23.39,12.54,70.31,100.29,1.32,11.63,,0.18,Sylhet
19810122,22.78,11.99,69.89,100.14,1.34,11.26,,0.0,Sylhet
19810123,23.14,11.45,66.46,100.21,1.33,10.55,,0.0,Sylhet
19810124,25.58,12.72,64.87,100.3,1.45,11.38,,4.27,Sylhet
19810125,25.27,13.36,70.02,100.42,1.9,12.64,,1.61,Sylhet
19810126,23.94,13.66,72.69,100.62,1.44,13.57,,18.14,Sylhet
19810127,23.98,13.4,71.63,100.58,1.38,12.57,,0.03,Sylhet
19810128,23.41,11.56,67.1,100.5,1.34,10.83,,0.12,Sylhet
19810129,22.46,11.99,66.17,100.26,1.3,10.46,,0.0,Sylhet
19810130,23.01,11.8,67.06,100.2,1.32,10.86,,0.32,Sylhet
19810131,24.81,13.41,72.9,100.27,1.19,13.53,,0.64,Sylhet
19810201,24.13,15.05,81.21,100.24,1.7,15.65,,31.92,Sylhet
19810202,24.17,15.33,76.84,100.38,1.24,14.85,,0.02,Sylhet
19810203,23.01,11.44,67.27,100.46,1.42,10.61,,0.39,Sylhet
19810204,22.63,11.3,74.66,100.35,1.48,11.78,,0.0,Sylhet
19810205,23.21,11.87,73.74,100.44,1.38,12.51,,0.0,Sylhet
19810206,24.74,13.08,70.68,100.44,1.56,13.0,,0.0,Sylhet
19810207,26.33,12.93,64.82,100.19,1.5,12.45,,0.0,Sylhet
19810208,26.48,16.35,62.96,100.07,1.41,13.38,,0.12,Sylhet
19810209,26.74,14.08,68.05,100.16,1.71,12.99,,0.32,Sylhet
19810210,19.77,13.99,82.77,100.02,2.05,13.37,,26.74,Sylhet
19810211,20.38,13.3,80.71,99.89,1.13,12.94,,6.13,Sylhet
19810212,21.55,10.68,77.8,100.02,1.23,11.76,,0.01,Sylhet
19810213,23.16,11.31,72.11,99.99,1.41,11.46,,0.0,Sylhet
19810214,23.55,12.47,67.64,100.05,1.3,11.72,,0.0,Sylhet
19810215,24.4,12.73,65.76,99.98,1.37,11.46,,0.0,Sylhet
19810216,25.55,12.69,64.71,100.05,1.47,11.92,,0.0,Sylhet
19810217,26.21,13.58,63.79,100.03,1.56,12.31,,0.09,Sylhet
19810218,25.73,12.78,55.94,100.02,1.45,9.69,,0.0,Sylhet
19810219,25.11,11.8,57.88,100.1,1.43,9.55,,0.0,Sylhet
19810220,25.13,12.91,62.78,100.07,1.38,11.1,,0.0,Sylhet
19810221,25.58,13.01,61.27,100.03,1.38,11.31,,0.0,Sylhet
19810222,26.39,12.26,57.86,100.03,1.52,10.3,,0.0,Sylhet
19810223,26.89,14.23,48.7,100.15,1.3,9.01,,0.0,Sylhet
19810224,27.28,13.35,52.45,100.13,1.44,9.94,,0.0,Sylhet
19810225,27.73,13.74,55.85,100.07,1.43,10.93,,0.0,Sylhet
19810226,28.32,14.08,60.4,99.97,1.57,12.79,,0.0,Sylhet
19810227,29.08,17.07,53.57,99.91,1.62,12.08,,0.01,Sylhet
19810228,27.97,15.89,58.57,99.93,1.72,12.68,,0.0,Sylhet
19810301,29.36,15.42,71.4,99.98,1.76,16.35,,0.03,Sylhet
19810302,28.71,17.7,68.67,100.01,1.57,16.05,,0.61,Sylhet
19810303,28.52,15.02,56.27,100.22,1.73,11.62,,0.36,Sylhet
19810304,27.53,13.43,51.04,100.42,1.47,9.3,,0.28,Sylhet
19810305,28.4,14.19,57.91,100.34,1.49,11.66,,0.0,Sylhet
19810306,28.77,15.02,54.93,100.37,1.35,11.88,,1.99,Sylhet
19810307,29.29,17.55,53.03,100.3,1.23,13.1,,0.0,Sylhet
19810308,29.85,15.82,62.91,99.99,1.48,15.33,,1.59,Sylhet
19810309,29.78,18.76,61.63,100.04,1.06,16.01,,0.24,Sylhet
19810310,27.97,15.49,54.05,100.16,1.51,11.9,,0.35,Sylhet
19810311,27.44,15.52,66.6,100.14,1.35,14.65,,2.11,Sylhet
19810312,28.31,17.27,68.83,100.18,1.22,16.44,,5.86,Sylhet
19810313,26.53,18.83,72.79,100.26,1.06,17.06,,1.35,Sylhet
19810314,27.02,17.07,71.54,100.35,1.15,16.38,,21.35,Sylhet
19810315,28.44,17.5,71.22,100.41,1.39,16.12,,0.01,Sylhet
19810316,28.14,16.86,69.12,100.06,1.54,15.84,,0.23,Sylhet
19810317,27.23,15.91,67.19,99.7,1.87,14.98,,1.59,Sylhet
19810318,29.31,16.38,57.72,99.66,1.5,13.73,,1.28,Sylhet
19810319,30.29,15.85,57.51,99.77,1.24,13.77,,0.63,Sylhet
19810320,31.37,17.92,55.22,99.72,1.37,14.76,,0.0,Sylhet
19810321,29.88,19.35,61.64,99.68,1.34,16.34,,0.0,Sylhet
19810322,32.51,20.42,57.04,99.32,1.96,15.93,,0.21,Sylhet
19810323,32.55,18.92,56.58,99.28,1.65,14.88,,0.23,Sylhet
19810324,31.17,19.21,64.5,99.64,1.33,17.21,,1.11,Sylhet
19810325,29.52,18.78,59.97,99.81,1.66,14.78,,14.49,Sylhet
19810326,26.94,17.8,69.3,99.75,1.28,15.37,,2.18,Sylhet
19810327,25.15,16.76,75.87,99.67,1.21,16.43,,23.21,Sylhet
19810328,26.95,17.12,70.15,99.85,1.46,15.67,,0.01,Sylhet
19810329,29.24,18.41,69.16,99.95,1.25,17.2,,3.93,Sylhet
19810330,30.22,18.94,66.09,99.84,1.36,17.49,,1.37,Sylhet
19810331,26.89,20.77,78.15,99.58,1.35,19.62,,26.03,Sylhet
19810401,27.1,18.78,83.85,99.43,1.88,20.09,,14.72,Sylhet
19810402,29.46,19.96,73.51,99.7,1.87,19.56,,7.71,Sylhet
19810403,29.82,20.59,73.23,99.62,1.67,20.06,,1.44,Sylhet
19810404,30.24,22.41,78.0,99.38,1.6,21.9,,6.85,Sylhet
19810405,31.48,22.25,81.91,99.21,1.83,22.65,,11.1,Sylhet
19810406,32.16,20.86,70.77,99.39,1.75,19.4,,0.41,Sylhet
19810407,31.05,18.34,55.38,99.55,1.34,14.53,,0.29,Sylhet
19810408,31.68,16.81,52.12,99.59,1.44,13.39,,0.26,Sylhet
19810409,32.34,17.89,54.3,99.46,1.52,15.13,,3.12,Sylhet
19810410,31.19,20.15,66.63,99.39,1.5,18.41,,9.87,Sylhet
19810411,31.83,19.4,66.04,99.49,1.22,19.04,,4.81,Sylhet
19810412,30.8,20.5,65.73,99.63,1.72,17.83,,16.14,Sylhet
19810413,30.6,18.73,65.17,99.67,1.86,17.69,,0.0,Sylhet
19810414,31.97,22.6,67.65,99.63,1.19,20.42,,0.0,Sylhet
19810415,30.99,21.44,71.95,99.7,0.78,20.8,,0.0,Sylhet
19810416,30.65,21.78,75.56,99.52,1.41,21.44,,26.7,Sylhet
19810417,28.38,22.25,89.28,99.44,1.99,23.17,,126.26,Sylhet
19810418,28.4,22.06,88.56,99.61,1.47,22.98,,31.98,Sylhet
19810419,25.01,18.4,86.76,99.83,2.63,19.85,,42.61,Sylhet
19810420,24.8,19.91,89.88,99.78,1.46,20.75,,35.02,Sylhet
19810421,29.91,18.3,70.51,99.6,1.48,18.18,,0.0,Sylhet
19810422,29.72,19.96,74.28,99.65,1.22,20.1,,0.52,Sylhet
19810423,29.95,20.72,77.53,99.76,1.2,21.32,,6.4,Sylhet
19810424,29.73,22.08,82.81,99.88,1.02,22.62,,0.03,Sylhet
19810425,32.52,21.54,67.25,99.83,1.15,19.63,,0.01,Sylhet
19810426,31.45,21.17,70.43,99.8,1.18,20.5,,0.01,Sylhet
19810427,31.61,21.47,70.91,99.83,1.1,20.77,,0.09,Sylhet
19810428,27.47,21.32,76.87,99.85,1.39,19.65,,3.08,Sylhet
19810429,31.14,20.69,72.25,99.63,1.23,20.7,,0.18,Sylhet
19810430,30.5,22.76,76.59,99.73,1.33,22.22,,0.31,Sylhet
19810501,31.14,22.33,79.73,99.79,1.17,22.61,,0.66,Sylhet
19810502,31.38,21.63,74.61,99.8,1.21,21.28,,3.74,Sylhet
19810503,32.24,21.88,65.41,99.71,1.42,20.09,,6.49,Sylhet
19810504,31.67,22.86,68.84,99.72,1.13,21.21,,0.0,Sylhet
19810505,30.68,22.84,73.15,99.7,1.24,21.69,,0.23,Sylhet
19810506,32.02,22.79,71.45,99.6,1.07,21.83,,0.05,Sylhet
19810507,31.21,22.31,75.66,99.62,1.06,21.68,,0.05,Sylhet
19810508,31.78,22.98,69.41,99.5,1.42,20.79,,3.56,Sylhet
19810509,29.23,22.01,79.11,99.44,0.92,21.27,,14.22,Sylhet
19810510,29.33,22.72,82.47,99.28,1.13,22.77,,8.6,Sylhet
19810511,29.26,22.57,81.6,99.27,0.96,22.83,,0.16,Sylhet
19810512,30.8,22.68,80.43,99.12,1.51,23.35,,50.38,Sylhet
19810513,31.16,22.79,79.36,99.09,1.32,23.36,,8.02,Sylhet
19810514,31.53,23.83,79.46,99.23,1.49,23.56,,5.55,Sylhet
19810515,30.96,23.39,81.7,99.1,1.39,23.83,,16.94,Sylhet
19810516,31.33,23.66,85.69,99.09,1.68,24.58,,15.9,Sylhet
19810517,31.05,23.82,86.81,99.14,1.51,24.73,,12.82,Sylhet
19810518,31.07,23.01,78.37,99.24,1.11,22.78,,3.68,Sylhet
19810519,33.21,22.88,71.39,99.03,1.36,22.51,,0.08,Sylhet
19810520,33.06,25.24,75.78,99.08,1.55,24.04,,11.7,Sylhet
19810521,31.96,23.65,79.23,99.25,1.2,23.62,,2.82,Sylhet
19810522,32.26,23.01,80.24,99.32,1.24,23.49,,8.53,Sylhet
19810523,31.35,23.72,83.46,99.18,1.44,24.28,,19.33,Sylhet
19810524,30.7,24.43,85.54,99.15,1.03,24.93,,1.75,Sylhet
19810525,31.13,24.76,81.62,99.34,1.27,23.92,,6.12,Sylhet
19810526,31.72,24.77,79.3,99.45,1.43,23.8,,12.07,Sylhet
19810527,32.02,23.56,80.72,99.37,1.28,23.68,,18.34,Sylhet
19810528,30.66,23.4,88.27,99.16,3.03,24.77,,26.14,Sylhet
19810529,29.75,24.49,89.11,99.27,3.04,24.86,,31.67,Sylhet
19810530,31.0,23.9,87.84,99.25,2.37,24.84,,17.37,Sylhet
19810531,30.83,24.29,86.85,99.28,1.59,25.0,,12.19,Sylhet
19810601,29.36,24.36,88.75,99.19,1.77,24.68,,7.62,Sylhet
19810602,32.1,23.92,83.39,99.0,1.34,24.57,,5.38,Sylhet
19810603,30.33,24.69,85.57,98.84,1.73,24.56,,10.78,Sylhet
19810604,32.61,23.54,85.78,98.74,1.61,25.33,,3.72,Sylhet
19810605,31.72,25.28,88.01,98.83,2.09,25.81,,6.6,Sylhet
19810606,31.88,24.54,87.25,98.92,1.75,25.44,,16.1,Sylhet
19810607,31.22,24.02,81.3,99.0,1.21,23.55,,0.11,Sylhet
19810608,31.91,23.62,71.88,98.97,1.19,22.24,,3.63,Sylhet
19810609,31.52,24.62,73.23,99.06,1.05,22.96,,0.27,Sylhet
